program_name,state,city,incentive_type,property_type,description,eligibility_criteria,incentive_amount,valid_until,updated_at,review_needed,program_links
Residential Clean Energy Credit,FL,Tampa,Tax Credits,Residential,"30% tax credit for solar and clean energy installations","Homeowners installing qualified clean energy systems","30%","2032-12-31","2026-04-30","No","https://www.irs.gov/credits-deductions/residential-clean-energy-credit"
My Safe Florida Home Program,FL,Tampa,Grants,Residential,"Provides grants for home hardening improvements","Florida homeowners meeting inspection requirements","Up to $10000","2026-12-31","2026-04-30","No","https://mysafeflhome.com/"
TECO Energy Efficiency Program,FL,Tampa,Rebates,Residential,"Offers rebates for energy-efficient appliances and upgrades","TECO customers upgrading appliances or systems","Varies","2026-12-31","2026-04-30","No","https://www.tampaelectric.com/residential/saveenergy/"
FEMA Hazard Mitigation Grant Program,FL,Tampa,Grants,Residential,"Funding to reduce disaster risks for properties","Homeowners in disaster-prone areas","Varies","2026-12-31","2026-04-30","No","https://www.fema.gov/grants/mitigation"
Florida Housing Finance Programs,FL,Tampa,Finance Solutions,Residential,"Affordable housing and financing assistance","Low-income and eligible applicants","Varies","2026-12-31","2026-04-30","Yes","https://www.floridahousing.org/programs"
Hillsborough County Home Repair Program,FL,Hillsborough,Grants,Residential,"Provides funding for home repairs and improvements","Eligible county residents","Varies","2026-12-31","2026-04-30","No","https://hcfl.gov/residents/property-owners-and-renters/homeowners-and-neighborhoods/owner-occupied-rehabilitation-oor-program"
Tampa Community Development Program,FL,Tampa,Grants,Residential,"Supports housing and community development projects","Low to moderate income households","Varies","2026-12-31","2026-04-30","No","https://www.tampa.gov/housing-and-community-development"
Duke Energy Smart Saver Program,FL,Tampa,Rebates,Residential,"Rewards customers for reducing energy usage","Participating Duke Energy customers","Varies","2026-12-31","2026-04-30","Yes","https://www.duke-energy.com/home/products/smart-saver"
Weatherization Assistance Program,FL,Tampa,Grants,Residential,"Improves energy efficiency for low-income households","Low-income families","Varies","2026-12-31","2026-04-30","Yes","https://www.energy.gov/eere/wap/weatherization-assistance-program"
Florida Solar Energy Rebate Program,FL,Tampa,Rebates,Residential,"Provides rebates for solar panel installations","Homeowners installing solar systems","Varies","2026-12-31","2026-04-30","Yes","https://www.tampaelectric.com/solarsolutions/solareducation/incentives/"
Property Assessed Clean Energy PACE,FL,Tampa,Finance Solutions,Residential,"Allows financing of energy improvements through property taxes","Property owners meeting eligibility","Varies","2030-12-31","2026-04-30","Yes","https://floridapace.gov/"